FileName|EntryType|SeqNbr|PostDate|AccountNumber|Description|SourceDescription|Indicator|Reference|Posted|GrossSales|SalesReturns
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|16524|1|10/17/2012|3930621977|TXNPUES|1|Yes R|MXWPCP|Yes|5007.10|50
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191675|1|01/14/2013|2368183100|OUNHQEX XUFQONY|1|No||Yes|43537.00|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191667|1|01/14/2013|3714468136|GHAKASC QHJXDFM|1|Yes||Yes|3172.53|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191673|1|01/14/2013|2632703881|PAHFSAP LUVIKXZ|1|No||Yes|983.21|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|80495|1|11/21/2012|2766389794|XDZANTV|1|Yes T|ZGMOXG|Yes|903.78|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|80507|1|11/21/2012|4609266335|BWWYEZL|1|Yes U|UKVMZO|Yes|670.31|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|80509|1|11/21/2012|1092717420|QJYPKVO|1|No  D|UNTASS|Yes|848.50|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|80497|1|11/21/2012|3386366766|SOQLCMU|1|Yes B|HUMGJR|Yes|7.31|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191669|1|01/14/2013|5905893739|FYIWNKA QUAFDKD|1|Yes||Yes|9167.93|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191671|1|01/14/2013|2749355876|CBMJTLP NGFSEIS|1|Yes||Yes|746.70|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191674|1|01/14/2013|4530359106|OTAVZGH ZUQFISZ|5|Yes||No|7035.74|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|244819|1|02/04/2013|4679391677|EGHLQTI ABE|1|Yes||No|89947.13|1000
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|96062|1|11/30/2012|5996493062|KTSVTADFF EHEHFMX|1|Yes U|NQLRCC|Yes|7.10|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|16527|1|10/17/2012|5595769375|ILCVJYC|1|Yes H|VZOUMY|Yes|321.19|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191670|1|01/14/2013|1948028853|RPPDCWC UWODNIO|1|Yes||No|9293.80|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191672|1|01/14/2013|4938823703|CTMDXXP HXOXVFF|7|Yes||No|175.00|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|191668|1|01/14/2013|4207018603|DBZZULF QGDZQMD|1|Yes||Yes|206.26|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201442|2|01/16/2013|5339093153|KIP MAJ|1|Yes||Yes|6030.75|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201444|2|01/16/2013|4189184779|NFR MMP|1|Yes||Yes|41790.07|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201448|2|01/16/2013|3370491102|FIU ZVR|1|Yes||No|54044.56|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201446|2|01/16/2013|4586422636|EJH ZMT|1|Yes||Yes|678.69|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201451|2|01/16/2013|1425533033|JWS ZCI|1|Yes||Yes|0278.28|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201452|2|01/16/2013|5191302470|TMQ GMU|1|Yes||Yes|666195.93|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201454|2|01/16/2013|2155845833|HCP DNV|1|Yes||Yes|820262.25|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201456|2|01/16/2013|1250064928|VMO AWH|7|No||Yes|25478.89|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201458|2|01/16/2013|2384080804|TGE XGG|7|No||Yes|788684.67|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201460|2|01/16/2013|1606678185|KRS BRK|1|Yes||Yes|71058.47|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201464|2|01/16/2013|3363129639|FHA AKO|1|No||Yes|16947.59|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201462|2|01/16/2013|4719124808|QGU UIO|1|No||Yes|81.53|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201466|2|01/16/2013|5444141687|NKC DSF|1|No||Yes|68968.66|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201468|2|01/16/2013|3596453934|AAC PZU|1|Yes||Yes|366362.63|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201470|2|01/16/2013|5658191939|FMF EWO|1|Yes||Yes|341992.68|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201472|2|01/16/2013|2670215222|GPE PYM|1|Yes||Yes|6766.96|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201474|2|01/16/2013|5157395529|APR WCM|1|Yes||No|487.43|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201476|2|01/16/2013|1294323461|KCD VMP|1|No||Yes|7493.60|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201478|2|01/16/2013|2398412695|ONP HQT|1|No||Yes|718.97|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201480|2|01/16/2013|5955295141|RQF BYJ|1|Yes||No|405319.75|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201484|2|01/16/2013|2024774889|RHN LFP|1|Yes||Yes|502615.75|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|201617|2|01/16/2013|1148505273|RSJ ZPR|1|Yes||No|5277.11|
C:\FixedWidthMultipleLayout\InputFiles\sales.txt|68944|2|11/14/2012|1592175803|YPVMQHO|1|No  K|BUEPIG|Yes|1332.58|
